pattern,label
oxycodone,PAIN_KILLER
docusil,PAIN_KILLER
norco,PAIN_KILLER
tramadol,PAIN_KILLER
acetaminophen,PAIN_KILLER
resident refused,REFUSAL
refused med,REFUSAL
med not available,NOT_AVAILABLE
does not need,REFUSAL
family request,FAMILY_INVOLVEMENT
doctor orders,DOCTOR_INVOLVEMENT
abnormal,ABNORMAL
yelling,ALTERED_MENTAL_STATE
kick,ALTERED_MENTAL_STATE
cursing,ALTERED_MENTAL_STATE
shouting,ALTERED_MENTAL_STATE
angry,ALTERED_MENTAL_STATE
kicking,ALTERED_MENTAL_STATE
aggressive,ALTERED_MENTAL_STATE
agitation,ALTERED_MENTAL_STATE
cry,CRY
crying,CRY
help,HELP
failure,FAILURE
resident alert,ALERT
resident tolerated,COOPERATIVE
call light,SUPPORT
call bell,SUPPORT
within reach,SUPPORT
transfer,RISK
severe,RISK
increased,RISK
shift resident,RISK
adverse,DISCOMFORT
complaint,DISCOMFORT
inhale orally,DISCOMFORT
j-tube displacement,DISCOMFORT
unresponsive,DISCOMFORT
discomfort,DISCOMFORT
distress,DISCOMFORT
aphasic,DISCOMFORT
congestion,DISCOMFORT
skin warm,DISCOMFORT
fall,FALL
injury,FALL
fracture,FALL
bleeding,BLOOD_THINNER
redness,REDNESS
numbness,NUMBNESS
stiffness,STIFFNESS
indigestion,INDIGESTION
blockage,BLOCKAGE
displacement,DISPLACEMENT
rash,RASHES
rashes,RASHES
pain,PAIN
headache,HEADACHE
infection,INFECTION
wound,WOUND
puffy looking,INFLAMMATION
weakness,WEAKNESS
dizziness,WEAKNESS
giddiness,WEAKNESS
pale,WEAKNESS
fatigue,WEAKNESS
fear,FEAR
anxiety,ANXIETY
restless,ANXIETY
vomiting,NAUSEA
nausea,NAUSEA
strain,STRAIN
tremor,TREMOR
itching,ITCHING
cough,COUGH
fever,FEVER
swelling,SWELLING
constipation,CONSTIPATION
coronary artery disease,HEART_CONDITION
diabetes mellitus,DIABETES
edema,EDEMA
ulcer,PRESSURE_ULCER
depression,MENTAL_CONDITION
schizophrenia,MENTAL_CONDITION
altered mental status,MENTAL_CONDITION
insomnia,MENTAL_CONDITION
dementia,MENTAL_CONDITION
sleep apnea,SLEEP_DISORDER
loose stool,DIARRHEA
diarrhea,DIARRHEA
seizure,SEIZURE
